epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,490.147,0.66569,0.6719,1.19884,0.87325,1,0.995,0.44618,1.01802,5.43859,1.73285,0.000493898,0.000493898,0.000493898
45,500.667,0.65314,0.67724,1.24778,0.99508,1,0.995,0.49947,1.791,1.30673,3.54942,0.000496672,0.000496672,0.000496672
46,510.54,0.65737,0.71517,1.16486,0.99508,1,0.995,0.49947,1.791,1.30673,3.54942,0.00049905,0.00049905,0.00049905
47,521.21,0.62425,0.66507,1.0873,0.99281,1,0.995,0.49869,2.13282,1.3028,4.03119,0.000501032,0.000501032,0.000501032
48,531.497,0.69703,0.67984,1.15835,0.99281,1,0.995,0.49869,2.13282,1.3028,4.03119,0.000502618,0.000502618,0.000502618
49,542.273,0.61642,0.59961,1.11436,0.97181,1,0.995,0.48794,1.79169,1.33774,3.11259,0.000503808,0.000503808,0.000503808
50,552.152,0.57254,0.55904,1.09053,0.97181,1,0.995,0.48794,1.79169,1.33774,3.11259,0.000504602,0.000504602,0.000504602
51,562.311,0.67523,0.63043,1.11174,0.98702,1,0.995,0.74095,1.34109,1.12274,2.92049,0.000505,0.000505,0.000505
52,573.01,0.72631,0.60942,1.30843,0.98702,1,0.995,0.74095,1.34109,1.12274,2.92049,0.000505002,0.000505002,0.000505002
53,583.255,0.50724,0.53717,1.04185,0.98702,1,0.995,0.74095,1.34109,1.12274,2.92049,0.000504608,0.000504608,0.000504608
54,594.148,0.58661,0.52944,1.11942,0.98675,1,0.995,0.70778,1.2053,1.096,2.34979,0.000503818,0.000503818,0.000503818
55,605.036,0.69172,0.52552,1.21548,0.98675,1,0.995,0.70778,1.2053,1.096,2.34979,0.000502632,0.000502632,0.000502632
56,615.713,0.66975,0.67346,1.30528,0.98675,1,0.995,0.70778,1.2053,1.096,2.34979,0.00050105,0.00050105,0.00050105
57,626.063,0.49558,0.43465,1.06498,0.9807,1,0.995,0.69788,0.99778,1.03397,1.609,0.000499072,0.000499072,0.000499072
58,636.764,0.50255,0.4457,1.03559,0.9807,1,0.995,0.69788,0.99778,1.03397,1.609,0.000496698,0.000496698,0.000496698
