epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2476.27,0.33536,1.9641,0.94146,0.3933,0.6574,0.4975,0.4975,0.16897,1.09541,0.43398,0.0007921,0.0007921,0.0007921
44,2530.93,0.44079,2.19448,0.96728,0.22503,0.5,0.33167,0.3114,0.18784,1.27114,0.47729,0.00078715,0.00078715,0.00078715
45,2586.25,0.33597,2.11619,0.80634,0.1361,0.5,0.1778,0.16789,0.17873,1.50996,0.45318,0.0007822,0.0007822,0.0007822
46,2644.15,0.30819,2.33337,0.86862,0.10084,0.25,0.09358,0.09358,0.20348,1.64794,0.45594,0.00077725,0.00077725,0.00077725
47,2700.08,0.28723,2.29458,0.70422,0.01485,0.75,0.06608,0.06531,0.25725,1.80655,0.50062,0.0007723,0.0007723,0.0007723
48,2755.7,0.31086,2.26322,0.84921,0.02667,1,0.09965,0.0917,0.17803,1.56575,0.45081,0.00076735,0.00076735,0.00076735
49,2812.74,0.30815,2.12513,0.83751,0.09629,1,0.199,0.199,0.16203,1.13751,0.41054,0.0007624,0.0007624,0.0007624
50,2868.96,0.32638,2.31099,0.87376,0.08231,1,0.18952,0.18354,0.26833,1.13404,0.47067,0.00075745,0.00075745,0.00075745
51,2924.11,0.27877,2.40152,0.68432,0.04348,1,0.19662,0.19662,0.34075,1.16478,0.54494,0.0007525,0.0007525,0.0007525
52,2980.19,0.31057,2.33222,0.79224,0.10256,1,0.26533,0.2558,0.27192,1.35207,0.4916,0.00074755,0.00074755,0.00074755
53,3034.67,0.3046,2.22559,0.81831,0.17391,1,0.44222,0.41672,0.20278,1.4026,0.46694,0.0007426,0.0007426,0.0007426
54,3088.91,0.2755,2.22837,0.86348,0.19048,1,0.44222,0.41693,0.19375,1.25709,0.48339,0.00073765,0.00073765,0.00073765
55,3143.93,0.26495,2.07412,0.86794,0.13078,1,0.17314,0.16578,0.18817,1.28416,0.48953,0.0007327,0.0007327,0.0007327
56,3198.1,0.42669,2.26505,1.01246,0.11296,1,0.12839,0.1194,0.17283,1.35909,0.47328,0.00072775,0.00072775,0.00072775
57,3252.91,0.271,2.04699,0.89179,0.40395,0.75,0.39621,0.3592,0.14354,1.07235,0.43625,0.0007228,0.0007228,0.0007228
58,3307.78,0.28696,2.17073,0.7788,0.37844,1,0.44222,0.41027,0.13062,1.06785,0.42355,0.00071785,0.00071785,0.00071785
59,3377.27,0.27053,2.21336,0.81534,0.17391,1,0.4975,0.4975,0.11807,1.12156,0.40564,0.0007129,0.0007129,0.0007129
60,3448.35,0.253,2.09163,0.75695,0.25,1,0.4975,0.4975,0.1107,1.15563,0.39371,0.00070795,0.00070795,0.00070795
61,3505.02,0.33795,1.95805,0.9472,0.26667,1,0.41929,0.41929,0.13689,1.34859,0.42301,0.000703,0.000703,0.000703
