epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,539.799,0.22217,0.83299,0.97387,0.75329,0.76646,0.945,0.76704,0.5204,6.08267,1.01371,0.000999282,0.000999282,0.000999282
45,552.269,0.20389,0.79919,0.96663,0.75329,0.76646,0.945,0.76704,0.5204,6.08267,1.01371,0.00100463,0.00100463,0.00100463
46,564.311,0.19221,0.79051,0.92273,0.24307,0.25,0.25921,0.25127,0.44026,5.84658,0.90612,0.00100919,0.00100919,0.00100919
47,576.364,0.25676,0.88636,0.94726,0.24307,0.25,0.25921,0.25127,0.44026,5.84658,0.90612,0.00101296,0.00101296,0.00101296
48,588.871,0.18487,0.78103,0.9573,0.75064,1,0.895,0.895,0.31946,3.41053,0.81534,0.00101593,0.00101593,0.00101593
49,600.877,0.22016,0.95221,0.95699,0.75064,1,0.895,0.895,0.31946,3.41053,0.81534,0.00101811,0.00101811,0.00101811
50,613.438,0.28049,0.85855,0.99952,0.63125,1,0.84917,0.84917,0.32917,5.32619,0.84953,0.0010195,0.0010195,0.0010195
51,625.561,0.22575,0.8307,0.92761,0.63125,1,0.84917,0.84917,0.32917,5.32619,0.84953,0.00101,0.00101,0.00101
52,637.645,0.21124,0.98496,0.88327,0.69878,0.5,0.66881,0.66881,0.30617,4.95578,0.86204,0.0009902,0.0009902,0.0009902
53,650.524,0.2082,0.72524,0.97,0.69878,0.5,0.66881,0.66881,0.30617,4.95578,0.86204,0.0009704,0.0009704,0.0009704
54,662.663,0.20117,0.75935,0.89606,0.90916,0.75,0.77278,0.77001,0.30939,4.1556,0.84075,0.0009506,0.0009506,0.0009506
55,676.864,0.20515,1.10468,0.93607,0.90916,0.75,0.77278,0.77001,0.30939,4.1556,0.84075,0.0009308,0.0009308,0.0009308
56,689.02,0.2146,0.80783,0.89746,0.3909,0.5,0.45949,0.42073,0.69737,4.15576,1.1225,0.000911,0.000911,0.000911
57,703.823,0.19726,0.87667,0.92763,0.3909,0.5,0.45949,0.42073,0.69737,4.15576,1.1225,0.0008912,0.0008912,0.0008912
58,716.678,0.2337,0.78149,0.95592,0.30261,0.5,0.27823,0.24849,0.97688,3.73428,1.34714,0.0008714,0.0008714,0.0008714
59,731.514,0.22128,0.8173,0.91336,0.30261,0.5,0.27823,0.24849,0.97688,3.73428,1.34714,0.0008516,0.0008516,0.0008516
60,746.861,0.24232,0.83134,0.96378,0.65844,0.48766,0.51894,0.50823,0.90483,3.50996,1.21796,0.0008318,0.0008318,0.0008318
61,760.501,0.23797,0.78711,0.94456,0.65844,0.48766,0.51894,0.50823,0.90483,3.50996,1.21796,0.000812,0.000812,0.000812
62,772.47,0.22672,0.77397,0.98501,0.97729,0.75,0.77833,0.77355,0.39497,2.25261,0.89246,0.0007922,0.0007922,0.0007922
63,784.284,0.21289,0.83955,0.98057,0.97729,0.75,0.77833,0.77355,0.39497,2.25261,0.89246,0.0007724,0.0007724,0.0007724
64,796.146,0.19854,0.71057,0.93609,0.98289,1,0.995,0.995,0.32259,1.77583,0.84233,0.0007526,0.0007526,0.0007526
65,808.205,0.20099,0.68434,0.92777,0.98289,1,0.995,0.995,0.32259,1.77583,0.84233,0.0007328,0.0007328,0.0007328
66,820.118,0.16727,0.63797,0.88946,0.98449,1,0.995,0.995,0.32365,1.7457,0.87252,0.000713,0.000713,0.000713
